"gene_id","symbol","name","chr","start","end"
"1173","AP2M1","adaptor-related protein complex 2, mu 1 subunit","3","183892477","183901879"
"5860","QDPR","quinoid dihydropteridine reductase","4","17461884","17513857"
"7345","UCHL1","ubiquitin carboxyl-terminal esterase L1 (ubiquitin thiolesterase)","4","41258430","41270472"
"308","ANXA5","annexin A5","4","122589110","122618268"
"2823","GPM6A","glycoprotein M6A","4","176554085","176923815"
"291","SLC25A4","solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 4","4","186064395","186068434"
"10409","BASP1","brain abundant, membrane attached signal protein 1","5","17217669","17276943"
"6507","SLC1A3","solute carrier family 1 (glial high affinity glutamate transporter), member 3","5","36606457","36688436"
"115827","RAB3C","RAB3C, member RAS oncogene family","5","57878048","58155213"
"22987","SV2C","synaptic vesicle glycoprotein 2C","5","75378997","75649764"
"27089","UQCRQ","ubiquinol-cytochrome c reductase, complex III subunit VII, 9.5kDa","5","132202252","132203723"
"7416","VDAC1","voltage-dependent anion channel 1","5","133307606","133340824"
"815","CAMK2A","calcium/calmodulin-dependent protein kinase II alpha","5","149599054","149669854"
"309","ANXA6","annexin A6","5","150480268","150537443"
"94081","SFXN1","sideroflexin 1","5","174904065","174956745"
"10814","CPLX2","complexin 2","5","175223313","175311023"
"7280","TUBB2A","tubulin, beta 2A","6","3153903","3157760"
"347733","TUBB2B","tubulin, beta 2B","6","3224517","3231964"
"5232","PGK2","phosphoglycerate kinase 2","6","49753647","49754900"
"60","ACTB","actin, beta","7","5566782","5603415"
"5879","RAC1","ras-related C3 botulinum toxin substrate 1 (rho family, small GTP binding protein Rac1)","7","6414154","6443608"
"2631","GBAS","glioblastoma amplified sequence","7","56019486","56067874"
"6804","STX1A","syntaxin 1A (brain)","7","73113536","73134002"
"2770","GNAI1","guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 1","7","79763271","79848718"
"781","CACNA2D1","calcium channel, voltage-dependent, alpha 2/delta subunit 1","7","81575760","82073114"
"27445","PCLO","piccolo (presynaptic cytomatrix protein)","7","82383321","82792200"
"253012","HEPACAM2","HEPACAM family member 2","7","92817899","92855837"
"2783","GNB2","guanine nucleotide binding protein (G protein), beta polypeptide 2","7","100271154","100276797"
"91584","PLXNA4","plexin A4","7","131808091","132333447"
"526","ATP6V1B2","ATPase, H+ transporting, lysosomal 56/58kDa, V1 subunit B2","8","20054878","20079212"
"4747","NEFL","neurofilament, light polypeptide","8","24808468","24814624"
"7419","VDAC3","voltage-dependent anion channel 3","8","42249346","42263411"
"5862","RAB2A","RAB2A, member RAS oncogene family","8","61429559","61536186"
"54704","PDP1","pyruvate dehyrogenase phosphatase catalytic subunit 1","8","94929162","94938294"
"7534","YWHAZ","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide","8","101930804","101965616"
"528","ATP6V1C1","ATPase, H+ transporting, lysosomal 42kDa, V1 subunit C1","8","104033248","104085285"
"157378","TMEM65","transmembrane protein 65","8","125323161","125384940"
"4062","LY6H","lymphocyte antigen 6 complex, locus H","8","144239331","144242128"
"5339","PLEC","plectin","8","144989321","145049543"
"1537","CYC1","cytochrome c-1","8","145149960","145152427"
"6505","SLC1A1","solute carrier family 1 (neuronal/epithelial high affinity glutamate transporter, system Xag), member 1","9","4490444","4587469"
"2776","GNAQ","guanine nucleotide binding protein (G protein), q polypeptide","9","80331003","80646374"
"51552","RAB14","RAB14, member RAS oncogene family","9","123940415","123985292"
"3309","HSPA5","heat shock 70kDa protein 5 (glucose-regulated protein, 78kDa)","9","127997132","128003609"
"6812","STXBP1","syntaxin binding protein 1","9","130374544","130457460"
"1759","DNM1","dynamin 1","9","130965658","131017527"
"6709","SPTAN1","spectrin, alpha, non-erythrocytic 1 (alpha-fodrin)","9","131314869","131395941"
"10383","TUBB2C","tubulin, beta 2C","9","140135665","140138159"
"509","ATP5C1","ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1","10","7830092","7849778"
"1103","CHAT","choline O-acetyltransferase","10","50817141","50873150"
"55847","CISD1","CDGSH iron sulfur domain 1","10","60028818","60049346"
"3098","HK1","hexokinase 1","10","71029740","71161638"
"7417","VDAC2","voltage-dependent anion channel 2","10","76969912","76991206"
"9211","LGI1","leucine-rich, glioma inactivated 1","10","95517642","95557916"
"5223","PGAM1","phosphoglycerate mutase 1 (brain)","10","99185917","99193198"
"2805","GOT1","glutamic-oxaloacetic transaminase 1, soluble (aspartate aminotransferase 1)","10","101156627","101190381"
"9118","INA","internexin neuronal intermediate filament protein, alpha","10","105036920","105050108"
"3265","HRAS","v-Ha-ras Harvey rat sarcoma viral oncogene homolog","11","532242","537287"
"975","CD81","CD81 molecule","11","2397419","2418627"
"6506","SLC1A2","solute carrier family 1 (glial high affinity glutamate transporter), member 2","11","35272753","35441610"
"6520","SLC3A2","solute carrier family 3 (activators of dibasic and neutral amino acid transport), member 2","11","62623518","62656352"
"10313","RTN3","reticulon 3","11","63448922","63527337"
"81876","RAB1B","RAB1B, member RAS oncogene family","11","66036056","66044963"
"2950","GSTP1","glutathione S-transferase pi 1","11","67351066","67354131"
"4723","NDUFV1","NADH dehydrogenase (ubiquinone) flavoprotein 1, 51kDa","11","67374323","67380012"
"4684","NCAM1","neural cell adhesion molecule 1","11","113003650","113149133"
"486","FXYD2","FXYD domain containing ion transport regulator 2","11","117690790","117698807"
"53826","FXYD6","FXYD domain containing ion transport regulator 6","11","117707693","117747367"
"10632","ATP5L","ATP synthase, H+ transporting, mitochondrial Fo complex, subunit G","11","118272104","118280559"
"7070","THY1","Thy-1 cell surface antigen","11","119288888","119293854"
"3312","HSPA8","heat shock 70kDa protein 8","11","122928203","122932844"
"50863","NTM","neurotrimin","11","131240373","132206716"
"4704","NDUFA9","NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 9, 39kDa","12","4758283","4796397"
"6843","VAMP1","vesicle-associated membrane protein 1 (synaptobrevin 1)","12","6571406","6580065"
"2597","GAPDH","glyceraldehyde-3-phosphate dehydrogenase","12","6643093","6647537"
"7167","TPI1","triosephosphate isomerase 1","12","6976283","6980112"
"2026","ENO2","enolase 2 (gamma, neuronal)","12","7023614","7032859"
"11331","PHB2","prohibitin 2","12","7074848","7079916"
"3945","LDHB","lactate dehydrogenase B","12","21788276","21810776"
"3845","KRAS","v-Ki-ras2 Kirsten rat sarcoma viral oncogene homolog","12","25358182","25403854"
"10059","DNM1L","dynamin 1-like","12","32832137","32898584"
"1272","CNTN1","contactin 1","12","41302156","41464094"
"10376","TUBA1B","tubulin, alpha 1b","12","49521569","49525304"
"7846","TUBA1A","tubulin, alpha 1a","12","49578585","49582861"
"84790","TUBA1C","tubulin, alpha 1c","12","49658865","49667116"
"506","ATP5B","ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide","12","57031963","57039852"
"6857","SYT1","synaptotagmin I","12","79257773","79845787"
"490","ATP2B1","ATPase, Ca++ transporting, plasma membrane 1","12","89981828","90049844"
"5250","SLC25A3","solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 3","12","98987403","98995775"
"10094","ARPC3","actin related protein 2/3 complex, subunit 3, 21kDa","12","110872695","110891802"
"22895","RPH3A","rabphilin 3A homolog (mouse)","12","113229549","113336679"
"11021","RAB35","RAB35, member RAS oncogene family","12","120532899","120554599"
"479","ATP12A","ATPase, H+/K+ transporting, nongastric, alpha polypeptide","13","25254695","25285918"
"57447","NDRG2","NDRG family member 2","14","21484922","21493935"
"84932","RAB2B","RAB2B, member RAS oncogene family","14","21927179","21945132"
"51382","ATP6V1D","ATPase, H+ transporting, lysosomal 34kDa, V1 subunit D","14","67804806","67826966"
"3320","HSP90AA1","heat shock protein 90kDa alpha (cytosolic), class A member 1","14","102547073","102606086"
"1152","CKB","creatine kinase, brain","14","103985996","103989170"
"8766","RAB11A","RAB11A, member RAS oncogene family","15","66161789","66184329"
"5315","PKM2","pyruvate kinase, muscle","15","72491370","72523684"
"27020","NPTN","neuroplastin","15","73852355","73925756"
"9377","COX5A","cytochrome c oxidase subunit Va","15","75212132","75230509"
"84894","LINGO1","leucine rich repeat and Ig domain containing 1","15","77905369","77924709"
"9899","SV2B","synaptic vesicle glycoprotein 2B","15","91643515","91844539"
"9143","SYNGR3","synaptogyrin 3","16","2039946","2044276"
"226","ALDOA","aldolase A, fructose-bisphosphate","16","30064444","30081741"
"2775","GNAO1","guanine nucleotide binding protein (G protein), alpha activating activity polypeptide O","16","56225302","56391354"
"23568","ARL2BP","ADP-ribosylation factor-like 2 binding protein","16","57279010","57287547"
"9114","ATP6V0D1","ATPase, H+ transporting, lysosomal 38kDa, V0 subunit d1","16","67471922","67515140"
"10381","TUBB3","tubulin, beta 3","16","89985667","90002505"
"7531","YWHAE","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, epsilon polypeptide","17","1247566","1303505"
"482","ATP1B2","ATPase, Na+/K+ transporting, beta 2 polypeptide","17","7554254","7561087"
"6844","VAMP2","vesicle-associated membrane protein 2 (synaptobrevin 2)","17","8054134","8066864"
"230","ALDOC","aldolase C, fructose-bisphosphate","17","26900133","26903952"
"1267","CNP","2',3'-cyclic nucleotide 3' phosphodiesterase","17","40118759","40129754"
"535","ATP6V0A1","ATPase, H+ transporting, lysosomal V0 subunit a1","17","40610862","40674596"
"8506","CNTNAP1","contactin associated protein 1","17","40834632","40852010"
"2670","GFAP","glial fibrillary acidic protein","17","42982993","42992914"
"5245","PHB","prohibitin","17","47481414","47492246"
"4830","NME1","non-metastatic cells 1, protein (NM23A) expressed in","17","49230897","49239789"
"1213","CLTC","clathrin, heavy chain (Hc)","17","57697219","57774317"
"94015","TTYH2","tweety homolog 2 (Drosophila)","17","72209696","72258155"
"10476","ATP5H","ATP synthase, H+ transporting, mitochondrial Fo complex, subunit d","17","73034955","73043074"
"9144","SYNGR2","synaptogyrin 2","17","76164671","76169009"
"71","ACTG1","actin, gamma 1","17","79476999","79479827"
"8774","NAPG","N-ethylmaleimide-sensitive factor attachment protein, gamma","18","10525873","10552762"
"2774","GNAL","guanine nucleotide binding protein (G protein), alpha activating activity polypeptide, olfactory type","18","11689265","11885684"
"4155","MBP","myelin basic protein","18","74690783","74845639"
"10382","TUBB4","tubulin, beta 4","19","6494331","6502330"
"1785","DNM2","dynamin 2","19","10824143","10942579"
"9545","RAB3D","RAB3D, member RAS oncogene family","19","11435094","11450321"
"23025","UNC13A","unc-13 homolog A (C. elegans)","19","17712137","17799401"
"5864","RAB3A","RAB3A, member RAS oncogene family","19","18307594","18314839"
"2821","GPI","glucose-6-phosphate isomerase","19","34855815","34891236"
"53822","FXYD7","FXYD domain containing ion transport regulator 7","19","35634154","35645205"
"478","ATP1A3","ATPase, Na+/K+ transporting, alpha 3 polypeptide","19","42470734","42498384"
"348","APOE","apolipoprotein E","19","45408956","45412650"
"8775","NAPA","N-ethylmaleimide-sensitive factor attachment protein, alpha","19","47990891","48018497"
"23546","SYNGR4","synaptogyrin 4","19","48867657","48879627"
"57030","SLC17A7","solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 7","19","49932656","49944808"
"5582","PRKCG","protein kinase C, gamma","19","54382444","54410906"
"140885","SIRPA","signal-regulatory protein alpha","20","1874813","1920543"
"6616","SNAP25","synaptosomal-associated protein, 25kDa","20","10199478","10288066"
"63908","NAPB","N-ethylmaleimide-sensitive factor attachment protein, beta","20","23355159","23402156"
"140679","SLC32A1","solute carrier family 32 (GABA vesicular transporter), member 1","20","37353105","37358015"
"4685","NCAM2","neural cell adhesion molecule 2","21","22370633","22915650"
"6647","SOD1","superoxide dismutase 1, soluble","21","33031935","33041244"
"529","ATP6V1E1","ATPase, H+ transporting, lysosomal 31kDa, V1 subunit E1","22","18074902","18111584"
"2781","GNAZ","guanine nucleotide binding protein (G protein), alpha z polypeptide","22","23412540","23467224"
"7533","YWHAH","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, eta polypeptide","22","32340447","32353590"
"9145","SYNGR1","synaptogyrin 1","22","39745930","39781593"
"4700","NDUFA6","NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 6, 14kDa","22","42481529","42486888"
"4128","MAOA","monoamine oxidase A","X","43515467","43606068"
"6853","SYN1","synapsin I","X","47431303","47479252"
"6855","SYP","synaptophysin","X","49044269","49056718"
"5230","PGK1","phosphoglycerate kinase 1","X","77320685","77384793"
"5354","PLP1","proteolipid protein 1","X","103028647","103047548"
"492","ATP2B3","ATPase, Ca++ transporting, plasma membrane 3","X","152783134","152848397"
"3897","L1CAM","L1 cell adhesion molecule","X","153126969","153174677"
"2664","GDI1","GDP dissociation inhibitor 1","X","153665266","153671814"
